Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Lance N,9,356.783333333,65,41,160,37,194,205,173,10,14,86,6.48904651163,0,0,0,14,3,0,0,San Diego Growlers2015  
Purdy T,12,187.616666667,94,63,95,19,110,85,86,24,12,3,7.33933333333,0,0,0,8,1,1,0,San Diego Growlers2015  
Anonymous,1,0.0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,1,3,0,0,San Diego Growlers2015  
Slaugh R,4,62.15,25,16,16,4,35,31,18,4,0,0,0,0,0,0,0,0,0,0,San Diego Growlers2015  
Gibson K,7,329.2,72,48,128,41,235,269,218,16,24,32,7.10575,0,0,1,17,4,0,1,San Diego Growlers2015  
Lenta R,12,301.283333333,154,95,31,15,152,139,130,18,12,0,0,0,0,0,8,0,0,0,San Diego Growlers2015  
Helms K,13,361.983333333,120,73,120,32,118,102,103,15,5,0,0,0,0,0,2,0,0,0,San Diego Growlers2015  
Flock D,11,145.183333333,70,46,44,11,90,80,66,8,2,0,0,0,0,0,3,1,0,0,San Diego Growlers2015  
Wu C,8,124.533333333,91,64,8,1,90,68,67,23,4,0,0,0,0,0,3,1,0,0,San Diego Growlers2015  
Woovon N,4,56.0833333333,2,2,29,5,1,1,1,0,0,2,6.9165,0,0,0,0,0,0,0,San Diego Growlers2015  
Parisi M,9,183.216666667,90,55,49,15,92,77,76,15,9,0,0,0,0,0,5,0,0,0,San Diego Growlers2015  
Clark B,13,235.416666667,28,17,131,35,25,21,21,4,1,0,0,0,0,0,3,0,0,0,San Diego Growlers2015  
Kirkla C,9,160.566666667,71,51,60,13,114,119,90,1,5,24,6.28366666667,0,0,0,13,0,0,0,San Diego Growlers2015  
Griffi W,14,277.816666667,81,58,182,31,167,165,141,13,24,7,5.67585714286,0,0,2,12,1,0,1,San Diego Growlers2015  
Milard S,13,490.4,64,33,242,66,158,139,137,21,14,15,5.63826666667,0,0,0,9,2,2,0,San Diego Growlers2015  
Smith N,12,163.416666667,8,3,120,29,31,37,29,1,3,2,6.121,0,0,0,3,0,0,0,San Diego Growlers2015  
Bridge N,8,165.066666667,28,15,74,18,55,53,45,5,5,0,0,0,0,1,3,1,0,0,San Diego Growlers2015  
Mickle J,14,669.383333333,265,176,150,58,523,516,494,26,61,93,7.08993548387,0,0,5,33,9,2,1,San Diego Growlers2015  
Nicker J,13,334.383333333,31,18,192,57,42,33,32,10,4,0,0,0,0,0,4,0,0,0,San Diego Growlers2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,0.0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,0,0,0,Atlanta Hustle2016  
Allan L,2,38.6833333333,5,3,26,11,21,26,19,1,5,22,7.52340909091,0,0,0,1,1,2,0,Atlanta Hustle2016  
Sun,2,35.6333333333,2,1,19,8,16,16,16,0,2,2,6.9515,0,0,0,3,0,0,0,Atlanta Hustle2016  
Vickroy,2,55.8333333333,6,4,29,13,26,20,22,4,3,1,5.387,0,0,0,1,1,0,0,Atlanta Hustle2016  
Bradham,2,40.95,1,0,27,13,4,1,1,3,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Kyle S,2,40.95,26,20,2,1,60,61,47,1,1,0,0,1,0,0,3,2,0,0,Atlanta Hustle2016  
Leonard,2,41.9,26,20,1,1,54,50,46,1,4,0,0,0,0,0,2,1,0,1,Atlanta Hustle2016  
A Olsen,1,28.95,1,1,18,7,8,6,7,1,1,0,0,0,0,0,1,1,0,0,Atlanta Hustle2016  
Breault,1,9.55,0,0,12,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Dylan,2,32.9833333333,24,17,2,1,62,65,49,3,5,0,0,0,0,0,5,0,0,0,Atlanta Hustle2016  
Erickson,2,42.5666666667,19,13,5,2,23,19,19,4,1,0,0,0,0,0,1,0,0,0,Atlanta Hustle2016  
Hicks,1,8.15,3,1,4,1,8,8,7,0,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Tree,2,52.55,4,2,26,11,11,15,9,2,2,0,0,0,0,0,2,0,0,0,Atlanta Hustle2016  
C Olsen,1,24.7333333333,5,3,9,4,16,15,16,0,2,0,0,0,0,0,1,0,0,1,Atlanta Hustle2016  
Poole,2,40.4833333333,28,20,1,1,48,45,44,3,5,0,0,0,0,0,2,0,0,0,Atlanta Hustle2016  
Boecking,1,16.1166666667,6,5,6,2,23,23,23,0,0,0,0,0,0,0,1,1,0,0,Atlanta Hustle2016  
A Taylor,1,13.9333333333,13,9,0,0,25,23,24,1,2,0,0,0,0,0,1,1,0,0,Atlanta Hustle2016  
Gainer,2,53.95,28,21,6,2,40,35,35,5,3,0,0,0,0,0,0,1,0,0,Atlanta Hustle2016  
Kelvin W,1,21.5333333333,1,1,16,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Archie,1,14.0333333333,0,0,12,3,4,2,3,1,1,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Trenton,2,52.7333333333,24,17,8,3,22,16,16,6,0,0,0,0,0,0,1,0,0,0,Atlanta Hustle2016  
Berendes,1,17.25,1,1,12,5,4,4,3,1,0,0,0,0,0,0,1,0,0,0,Atlanta Hustle2016  
Runner,2,47.3,6,4,26,11,25,44,22,1,3,19,6.49005882353,0,0,0,1,2,1,0,Atlanta Hustle2016  
JP Burns,2,65.85,6,3,28,13,20,20,18,1,2,0,0,1,0,0,1,2,0,0,Atlanta Hustle2016  
Sears,2,42.6333333333,3,2,25,9,7,3,3,4,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Wooten,1,6.11666666667,0,0,9,2,2,1,2,0,0,0,0,0,0,0,1,1,0,0,Atlanta Hustle2016  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,0.0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,217,0,0,0,Ottawa Outlaws2015  
HogelM,13,252.85,171,118,33,18,341,336,256,18,12,0,0,0,0,1,14,5,0,0,Ottawa Outlaws2015  
GoodkeyM,12,161.95,24,15,147,37,56,52,54,2,6,7,5.64575,0,0,1,7,4,0,1,Ottawa Outlaws2015  
FroatsC,13,187.033333333,27,16,147,39,75,98,62,5,9,4,9.017,0,0,0,5,2,0,0,Ottawa Outlaws2015  
SchmidtR,9,142.65,16,10,111,28,41,30,31,10,5,17,6.32466666667,0,0,0,6,4,0,0,Ottawa Outlaws2015  
GeeK,7,108.633333333,27,12,76,21,57,52,49,1,1,4,0,0,0,0,2,3,0,0,Ottawa Outlaws2015  
TurcottD,5,46.1333333333,3,1,49,16,29,39,28,1,3,1,0,0,0,0,5,0,0,0,Ottawa Outlaws2015  
JanssenD,9,217.816666667,141,99,20,13,268,262,187,11,9,0,0,0,0,0,9,1,0,1,Ottawa Outlaws2015  
BlackstL,11,207.783333333,21,10,172,55,65,50,48,16,11,30,3.58866666667,0,0,0,5,1,0,0,Ottawa Outlaws2015  
RenaudP,6,92.9333333333,12,5,76,21,19,19,15,4,3,0,0,0,0,0,2,0,0,0,Ottawa Outlaws2015  
CoreyA,11,187.6,67,46,126,34,156,141,134,14,19,122,6.49183333333,0,0,0,19,4,6,1,Ottawa Outlaws2015  
ForestNL,13,334.516666667,212,144,37,16,218,200,195,23,10,1,0,0,0,0,10,2,0,0,Ottawa Outlaws2015  
ProulxP,9,104.333333333,3,1,96,30,13,8,10,3,0,0,0,0,0,0,0,1,0,0,Ottawa Outlaws2015  
HaigJ,8,159.316666667,113,77,15,6,54,48,45,7,6,0,0,0,0,0,6,0,0,0,Ottawa Outlaws2015  
WayK,13,382.6,227,156,50,19,377,346,335,31,43,0,0,0,0,1,32,4,0,0,Ottawa Outlaws2015  
LoiseauL,1,2.33333333333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ottawa Outlaws2015  
LoiseauK,12,337.716666667,167,111,77,30,302,279,265,30,20,1,6.066,0,0,1,24,2,0,0,Ottawa Outlaws2015  
LeeM,12,193.35,28,16,152,49,86,84,68,17,17,28,4.92366666667,0,0,0,11,0,3,0,Ottawa Outlaws2015  
HillJ,10,262.616666667,114,73,77,29,98,69,71,27,7,3,2.5165,0,0,0,6,4,0,0,Ottawa Outlaws2015  
RingB,13,165.233333333,43,25,145,31,115,159,94,0,4,0,0,0,0,0,8,4,0,0,Ottawa Outlaws2015  
AlexandD,11,364.916666667,217,146,50,24,601,633,514,12,44,0,0,0,0,2,35,11,0,0,Ottawa Outlaws2015  
AlexandK,13,302.383333333,208,145,24,15,180,157,152,24,25,0,0,0,0,0,16,4,0,0,Ottawa Outlaws2015  
ArsenauA,2,29.4,7,3,15,1,6,6,4,2,0,0,0,0,0,0,0,0,0,0,Ottawa Outlaws2015  
McGregoJ,7,111.166666667,16,9,87,29,37,35,28,8,2,1,0,0,0,0,5,0,0,0,Ottawa Outlaws2015  
PhelanL,11,109.483333333,19,11,107,35,45,46,41,4,7,18,4.841,0,0,0,4,0,0,0,Ottawa Outlaws2015  
WestwelS,11,283.516666667,156,95,75,26,275,280,216,20,22,8,5.7075,0,0,0,14,9,0,0,Ottawa Outlaws2015  
BergM,8,135.65,62,38,64,28,48,30,29,19,3,0,0,0,0,0,0,0,0,0,Ottawa Outlaws2015  
GreenC,11,156.783333333,30,21,118,39,78,127,73,0,15,0,0,0,0,0,10,0,0,1,Ottawa Outlaws2015  
OuchterA,9,232.766666667,141,103,26,10,175,163,161,14,12,1,3.583,0,0,1,13,2,0,0,Ottawa Outlaws2015  
BoucherN,8,150.016666667,31,20,116,28,57,56,53,3,10,71,6.88794736842,0,0,0,9,2,1,0,Ottawa Outlaws2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,0.0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,Nashville Nightwatch2015  
Dayton M,14,482.0,273,185,28,11,250,223,219,29,7,0,0,0,0,0,6,2,0,0,Nashville Nightwatch2015  
Lally P,13,453.683333333,256,178,44,16,324,273,273,50,36,2,6.128,0,0,0,17,2,0,0,Nashville Nightwatch2015  
Trett D,9,227.25,73,48,92,18,79,65,66,12,6,0,0,0,0,0,2,1,0,0,Nashville Nightwatch2015  
Pepper N,2,36.25,9,4,16,3,17,17,17,0,1,0,0,0,0,0,0,0,0,0,Nashville Nightwatch2015  
Willia E,10,153.866666667,24,10,116,16,56,62,50,0,1,0,0,0,0,0,5,2,0,0,Nashville Nightwatch2015  
Gallin M,13,364.916666667,69,40,198,33,317,403,300,0,23,193,6.68924479167,0,0,2,47,7,11,0,Nashville Nightwatch2015  
Carden J,10,217.633333333,43,19,113,18,69,57,57,12,5,0,0,0,0,0,3,2,0,0,Nashville Nightwatch2015  
Markle R,6,46.85,8,5,39,2,25,27,22,0,1,0,0,0,0,0,4,1,1,0,Nashville Nightwatch2015  
Radcli T,11,337.416666667,201,139,30,9,314,266,268,46,28,1,6.242,0,0,1,15,4,0,0,Nashville Nightwatch2015  
McClel M,5,68.0,17,9,30,5,60,61,52,3,2,0,0,0,0,0,2,0,0,0,Nashville Nightwatch2015  
Anonymous,1,0.0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,Nashville Nightwatch2015  
Waldro B,13,442.416666667,236,161,49,17,564,593,447,15,47,5,6.725,0,0,1,37,8,2,0,Nashville Nightwatch2015  
Ortiz J,12,316.0,126,76,84,10,191,173,172,18,9,0,0,0,0,0,12,5,0,1,Nashville Nightwatch2015  
Wu V,7,142.45,17,10,88,12,80,93,76,0,1,2,5.9405,0,0,0,8,1,2,0,Nashville Nightwatch2015  
Chow J,8,184.733333333,103,66,11,6,147,150,124,1,1,0,0,0,0,3,9,2,0,0,Nashville Nightwatch2015  
Conger T,2,80.2666666667,41,29,6,3,115,113,95,0,3,0,0,0,0,2,2,1,0,1,Nashville Nightwatch2015  
Cain T,7,131.833333333,27,15,91,14,55,51,51,4,3,0,0,0,0,0,3,0,0,0,Nashville Nightwatch2015  
Moore J,7,112.666666667,21,7,70,14,72,68,59,3,2,5,7.2014,0,0,1,6,3,1,0,Nashville Nightwatch2015  
Reed D,11,104.4,10,3,80,16,24,20,21,3,1,0,0,0,0,1,1,0,0,0,Nashville Nightwatch2015  
Barnha A,14,359.416666667,116,75,130,17,168,165,138,14,17,35,6.46545714286,0,0,0,17,2,3,0,Nashville Nightwatch2015  
Bates J,13,230.85,25,13,173,33,62,50,51,11,1,0,0,0,0,0,1,1,0,0,Nashville Nightwatch2015  
Hannon W,10,246.716666667,171,118,5,2,222,215,167,5,8,0,0,0,0,0,14,4,0,0,Nashville Nightwatch2015  
Strass F,10,186.35,26,14,117,23,45,36,37,8,3,0,0,0,0,0,3,1,0,0,Nashville Nightwatch2015  
Sansbu B,12,274.75,90,59,120,18,92,74,72,20,6,0,0,0,0,0,7,2,0,0,Nashville Nightwatch2015  
Wright J,10,278.733333333,128,87,49,13,206,204,179,17,17,6,5.14133333333,0,0,0,27,3,1,0,Nashville Nightwatch2015  
Terry K,12,429.2,188,132,75,22,588,619,514,5,44,18,5.82833333333,0,0,1,45,20,1,0,Nashville Nightwatch2015  
Hammon C,12,255.433333333,69,37,148,21,149,154,119,5,8,19,6.11236842105,0,0,0,15,0,1,1,Nashville Nightwatch2015  
Heath T,13,264.833333333,34,15,161,27,78,76,74,4,4,0,0,0,0,1,10,1,0,0,Nashville Nightwatch2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,848.45,7,1,17,7,0,171,0,0,0,0,0,0,0,0,171,0,0,0,Philadelphia Phoenix2015  
Mott S,10,336.783333333,159,93,45,12,276,262,250,21,22,4,4.5595,0,0,0,32,4,0,0,Philadelphia Phoenix2015  
Weinbe C,4,75.0833333333,39,22,21,7,51,47,49,2,2,2,5.79,0,0,0,3,2,0,0,Philadelphia Phoenix2015  
Hollow J,4,117.883333333,19,10,43,2,17,16,14,1,4,0,0,0,0,0,3,2,0,0,Philadelphia Phoenix2015  
Peck E,10,793.483333333,171,95,74,24,305,300,288,8,38,13,4.304,0,0,0,49,9,0,0,Philadelphia Phoenix2015  
Startz C,7,234.733333333,137,56,35,6,174,177,109,5,2,0,0,0,0,0,8,1,0,0,Philadelphia Phoenix2015  
Lambor E,10,749.7,41,8,149,12,38,37,32,4,0,3,3.96233333333,0,0,0,4,1,0,0,Philadelphia Phoenix2015  
Willia B,10,670.166666667,134,40,41,7,95,81,77,14,7,5,4.3622,0,0,0,9,1,0,0,Philadelphia Phoenix2015  
Franke G,1,11.1833333333,3,1,8,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,Philadelphia Phoenix2015  
Peezic S,11,300.3,129,39,59,3,37,29,25,10,3,1,0,0,0,0,5,1,0,0,Philadelphia Phoenix2015  
Allan R,1,6.76666666667,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Philadelphia Phoenix2015  
Morgan S,9,511.133333333,33,21,67,10,36,33,29,4,3,2,3.696,0,0,0,3,2,0,0,Philadelphia Phoenix2015  
Allen T,8,270.9,156,60,39,5,179,182,126,6,9,3,0,0,0,0,16,9,0,0,Philadelphia Phoenix2015  
Bonell A,6,553.383333333,36,16,55,14,39,37,35,3,3,16,5.11125,0,0,0,4,2,0,0,Philadelphia Phoenix2015  
Patel N,7,613.0,56,28,81,18,115,136,109,3,8,1,0.983,0,0,0,17,1,0,0,Philadelphia Phoenix2015  
Anonymous,1,0.0,0,0,0,0,14,24,6,1,2,9,0,0,0,0,8,4,0,0,Philadelphia Phoenix2015  
Forste R,12,378.8,220,109,39,12,279,272,233,18,15,2,6.195,0,0,0,22,1,0,0,Philadelphia Phoenix2015  
Fortin E,10,251.483333333,54,19,123,19,93,110,86,1,2,24,5.93136363636,0,0,0,9,3,1,0,Philadelphia Phoenix2015  
Hampso D,12,823.85,197,97,83,12,371,410,335,8,10,0,0,0,0,0,26,8,0,0,Philadelphia Phoenix2015  
Michel M,13,404.066666667,98,36,168,23,61,48,42,15,13,95,5.31864705882,0,0,0,12,3,18,0,Philadelphia Phoenix2015  
Kochen C,2,24.1833333333,2,1,12,5,7,6,5,2,1,0,0,0,0,0,0,0,0,0,Philadelphia Phoenix2015  
Ng S,12,671.5,115,56,100,19,255,264,166,8,10,5,4.48725,0,0,0,19,5,0,0,Philadelphia Phoenix2015  
Robert A,7,104.533333333,12,5,65,14,20,20,18,2,3,0,0,0,0,0,3,0,0,0,Philadelphia Phoenix2015  
Esser S,9,648.233333333,35,6,130,20,26,23,23,3,3,0,0,0,0,0,2,0,0,0,Philadelphia Phoenix2015  
Palumb J,3,39.7666666667,5,1,23,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,Philadelphia Phoenix2015  
OConne J,5,37.9833333333,3,1,35,6,11,15,10,0,1,6,4.432,0,0,0,1,1,3,0,Philadelphia Phoenix2015  
Goldbe A,4,47.3666666667,14,10,34,7,14,12,13,1,3,0,0,0,0,0,3,0,0,0,Philadelphia Phoenix2015  
Brando,1,26.4833333333,17,11,3,2,44,47,39,0,7,0,0,0,0,0,2,0,0,0,Philadelphia Phoenix2015  
Rosso S,4,500.516666667,19,10,50,10,30,30,25,5,3,6,0,0,0,0,3,0,0,0,Philadelphia Phoenix2015  
Nardel E,4,126.816666667,16,9,58,3,18,14,12,4,3,0,0,0,0,0,2,0,0,0,Philadelphia Phoenix2015  
Harrit C,6,172.95,56,17,59,4,28,30,26,0,2,2,5.2195,0,0,0,4,0,0,0,Philadelphia Phoenix2015  
Bushek A,13,367.233333333,91,28,153,23,114,135,84,5,11,6,3.09533333333,0,0,0,17,4,0,0,Philadelphia Phoenix2015  
Seyler J,14,603.733333333,116,38,98,14,52,42,40,11,3,0,0,0,0,0,8,0,0,0,Philadelphia Phoenix2015  
Wolf K,12,700.916666667,134,52,112,19,146,164,133,5,15,12,3.82975,0,0,0,24,3,0,0,Philadelphia Phoenix2015  
Lowy A,2,10.1833333333,4,1,9,1,3,5,2,0,1,4,4.51825,0,0,0,1,0,0,0,Philadelphia Phoenix2015  
Sisto J,12,336.283333333,163,83,86,14,73,48,48,24,6,0,0,0,0,0,8,1,0,0,Philadelphia Phoenix2015  
Lu E,4,88.4833333333,22,12,33,2,15,18,12,1,0,0,0,0,0,0,2,0,0,0,Philadelphia Phoenix2015  
Magerr B,12,369.366666667,196,109,36,15,208,172,173,32,16,1,1.565,0,0,0,12,6,0,0,Philadelphia Phoenix2015  
Eskin Z,9,115.933333333,14,3,72,11,5,1,2,2,0,1,0,0,0,0,0,1,0,0,Philadelphia Phoenix2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Ojo R.,11,179.966666667,5,4,156,61,61,51,51,10,6,0,0,0,0,0,7,1,0,0,Toronto Rush2015  
,1,0.116666666667,1,1,0,0,0,247,0,0,0,0,0,0,0,0,247,0,0,0,Toronto Rush2015  
Meron J,6,102.716666667,4,2,90,45,54,77,46,7,6,43,6.41278571429,0,0,0,6,0,1,0,Toronto Rush2015  
Watanabe,11,176.883333333,12,8,156,63,50,42,40,9,5,1,5.859,0,0,0,4,1,0,0,Toronto Rush2015  
Mackenzi,4,89.0166666667,4,2,61,30,28,22,22,6,3,0,0,0,0,0,1,1,0,0,Toronto Rush2015  
Raina,14,247.966666667,171,134,50,24,299,310,144,6,6,9,5.65866666667,0,0,0,11,2,0,0,Toronto Rush2015  
Mostaghi,10,132.55,17,12,101,37,58,53,53,5,10,0,0,0,0,0,5,2,0,0,Toronto Rush2015  
Henry T.,13,277.15,49,32,185,78,85,81,72,13,19,1,0,0,0,0,8,3,0,0,Toronto Rush2015  
Jones M.,14,275.35,112,85,140,54,229,247,189,8,15,13,6.31666666667,0,0,0,8,2,1,0,Toronto Rush2015  
Powell G,10,228.533333333,36,28,149,65,106,89,77,27,10,1,4.617,0,0,0,12,1,0,0,Toronto Rush2015  
Yearwood,14,363.416666667,186,143,97,47,433,442,363,20,41,1,4.772,0,0,0,19,7,0,1,Toronto Rush2015  
Lloyd M.,1,0.0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,Toronto Rush2015  
Anonymous,1,0.0,0,0,0,0,6,15,5,1,1,4,3.71825,0,0,0,1,0,0,0,Toronto Rush2015  
Martin J,7,202.55,38,28,125,49,95,69,61,34,16,49,5.92339583333,0,0,0,3,1,3,0,Toronto Rush2015  
Bradford,14,212.266666667,149,122,68,29,147,135,133,14,7,1,5.871,0,0,0,13,2,0,0,Toronto Rush2015  
Hau J.,15,258.0,20,16,207,76,95,87,79,15,8,20,6.31029411765,0,0,0,16,0,5,0,Toronto Rush2015  
Harrison,13,245.75,26,22,202,80,126,159,103,12,16,172,6.82187951807,0,0,0,11,3,14,0,Toronto Rush2015  
McKnight,16,395.633333333,273,213,44,22,608,645,561,8,39,15,6.30586666667,0,0,0,37,10,0,0,Toronto Rush2015  
Yue,11,186.9,9,6,144,61,54,48,46,8,4,0,0,0,0,0,1,0,0,0,Toronto Rush2015  
Kubinec,11,169.766666667,13,10,164,57,66,54,52,14,6,29,6.02203448276,0,0,0,5,1,5,0,Toronto Rush2015  
Vasilyev,10,287.216666667,47,34,179,65,186,234,169,2,30,13,5.86615384615,0,0,0,13,4,2,0,Toronto Rush2015  
Kotwa T.,5,96.4333333333,6,2,78,28,17,11,11,6,2,0,0,0,0,0,0,0,0,0,Toronto Rush2015  
Carroll,16,388.316666667,55,42,255,111,169,159,149,19,19,8,6.12616666667,0,0,0,11,1,0,0,Toronto Rush2015  
Vlahos A,9,148.083333333,59,46,70,26,70,58,58,12,4,0,0,0,0,0,4,0,0,0,Toronto Rush2015  
Armitage,12,292.166666667,154,120,66,33,135,85,82,53,7,1,5.87,0,0,0,5,3,0,0,Toronto Rush2015  
Masek Ke,16,453.666666667,281,221,77,31,437,394,378,55,56,19,6.01338888889,0,0,0,29,10,1,0,Toronto Rush2015  
Lindquis,14,398.6,183,141,131,52,342,336,311,29,55,9,5.63133333333,0,0,0,15,6,0,0,Toronto Rush2015  
Harris C,15,437.916666667,242,187,90,42,349,316,296,47,47,28,5.18966666667,0,0,0,24,8,1,0,Toronto Rush2015  
Hirst N.,10,172.766666667,114,89,36,21,143,141,103,11,9,2,4.2615,0,0,0,5,3,0,0,Toronto Rush2015  
Watts A.,14,220.85,2,0,204,78,66,95,62,3,7,2,5.065,0,0,0,10,4,1,0,Toronto Rush2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Yoder J,10,181.533333333,21,11,122,37,83,126,75,2,11,16,4.9185,0,0,0,7,1,0,0,Indianapolis Alley Cats2015  
